old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species,role
KC-S17-198-6,KC-S17-198-6,summer,-27.04,11.67,3.22,,common shiner,invertivore
KC-S17-198-7,KC-S17-198-7,summer,-25.97,10.71,3.31,,common shiner,invertivore
KC-S17-198-8,KC-S17-198-8,summer,-27.68,12.49,3.67,,common shiner,invertivore
KC-S17-212-1,KC-S17-212-1,summer,-25.75,11.08,3.29,0.69,creek chub,cc
KC-S17-212-2,KC-S17-212-2,summer,-26.18,11.76,3.24,1.6,creek chub,cc
KC-S17-212-3,KC-S17-212-3,summer,-25.75,11.91,3.16,2.17,creek chub,cc
KC-S17-212-4,KC-S17-212-4,summer,-25.7,11.51,3.21,1.89,creek chub,cc
KC-S17-212-5,KC-S17-212-5,summer,-25.52,10.06,3.2,0.83,creek chub,cc
KC-S17-212-7,KC-S17-212-7,summer,-25.4,9.82,3.17,1.23,creek chub,cc
KC-S17-212-8,KC-S17-212-8,summer,-25.68,11.37,3.17,1.1,creek chub,cc
KC-S17-212-9 AVG,KC-S17-212-9,summer,-26.47,11.71,3.24,1.67,creek chub,cc
KC-S17-212-10,KC-S17-212-10,summer,-25.07,9.84,3.2,1.47,creek chub,cc
KC-S17-208-1,KC-S17-208-1,summer,-26.14,12.4,3.45,1.57,bluntnose minnow,detritivore
KC-S17-208-2,KC-S17-208-2,summer,-26.26,13.08,3.48,1.13,bluntnose minnow,detritivore
KC-S17-208-3,KC-S17-208-3,summer,-26.49,11.57,3.78,0.69,bluntnose minnow,detritivore
KC-S17-208-4,KC-S17-208-4,summer,-25.69,12.63,3.69,0.97,bluntnose minnow,detritivore
KC-S17-208-5,KC-S17-208-5,summer,-26.17,12.71,3.53,1.37,bluntnose minnow,detritivore
KC-S17-208-6,KC-S17-208-6,summer,-25.49,13.08,3.5,0.26,bluntnose minnow,detritivore
KC-S17-208-7,KC-S17-208-7,summer,-25.41,13.29,3.46,0.89,bluntnose minnow,detritivore
KC-S17-208-8,KC-S17-208-8,summer,-26.85,12.96,3.47,0.05,bluntnose minnow,detritivore
KC-S17-208-9,KC-S17-208-9,summer,-25.88,13.26,3.46,0.99,bluntnose minnow,detritivore
KC-S17-201-1,KC-S17-201-1,summer,-26.36,12.65,3.52,,spottail shiner,herbivore
KC-S17-344-1,KC-S17-344-1,summer,-27.77,14.14,3.76,,blackside darter,invertivore
KC-S17-344-2 AVG,KC-S17-344-2,summer,-27.32,13.87,3.7,,blackside darter,invertivore
KC-S17-344-3,KC-S17-344-3,summer,-27.97,13.58,3.69,,blackside darter,invertivore
KC-S17-344-4,KC-S17-344-4,summer,-28.09,14.23,4.1,,blackside darter,invertivore
KC-S17-344-5,KC-S17-344-5,summer,-28.18,13.75,3.5,,blackside darter,invertivore
KC-S17-344-6,KC-S17-344-6,summer,-27.21,13.75,3.88,,blackside darter,invertivore
KC-S17-344-7,KC-S17-344-7,summer,-27.98,13.55,3.98,,blackside darter,invertivore
KC-S17-344-8,KC-S17-344-8,summer,-28.45,14.14,3.97,,blackside darter,invertivore
KC-S17-165-1,KC-S17-165-1,summer,-25.92,12.8,3.33,,northern hog sucker,herbivore
KC-S17-165-2,KC-S17-165-2,summer,-25.76,12.84,3.28,,northern hog sucker,herbivore
KC-S17-165-3,KC-S17-165-3,summer,-25.7,13.45,3.28,,northern hog sucker,herbivore
KC-S17-165-4,KC-S17-165-4,summer,-26.09,13.34,3.37,,northern hog sucker,herbivore
KC-S17-165-5,KC-S17-165-5,summer,-26,13.18,3.29,,northern hog sucker,herbivore
KC-S17-165-6,KC-S17-165-6,summer,-26.25,13.28,3.22,,northern hog sucker,herbivore
KC-S17-165-7 AVG,KC-S17-165-7,summer,-25.79,13.21,3.28,,northern hog sucker,herbivore
KC-S17-165-8,KC-S17-165-8,summer,-25.51,13.61,3.34,,northern hog sucker,herbivore
KC-S17-165-9,KC-S17-165-9,summer,-25.66,13.5,3.29,,northern hog sucker,herbivore
KC-S17-165-10,KC-S17-165-10,summer,-26.5,12.93,3.29,,northern hog sucker,herbivore
KC-S17-TER-1,KC-S17-TER-1,summer,-26.48,0.83,4.55,2.38,european garden snail,terbase
KC-S17-AQB-1,KC-S17-AQB-1,summer,-26.4,11.81,5.15,2.53,mayfly,aqbase
KC-F17-163-1,KC-F17-163-1,fall,-26.47,13.29,3.23,2.29,white sucker,detritivore
KC-F17-163-2,KC-F17-163-2,fall,-27.5,14.26,3.35,2.84,white sucker,detritivore
KC-F17-163-3,KC-F17-163-3,fall,-25.97,12.42,3.33,1.5,white sucker,detritivore
KC-F17-163-4,KC-F17-163-4,fall,-26.1,12.93,3.29,1.22,white sucker,detritivore
KC-F17-163-5,KC-F17-163-5,fall,-25.9,15.29,3.24,2.13,white sucker,detritivore
KC-F17-198-1,KC-F17-198-1,fall,-25.03,9.96,3.37,,common shiner,invertivore
KC-F17-198-2,KC-F17-198-2,fall,-24.71,10.07,3.25,,common shiner,invertivore
KC-F17-198-3 AVG,KC-F17-198-3,fall,-26.08,12.15,3.33,,common shiner,invertivore
KC-F17-212-1,KC-F17-212-1,fall,-24.77,9.88,3.38,1.95,creek chub,cc
KC-F17-212-2,KC-F17-212-2,fall,-25.05,10.66,3.27,2.2,creek chub,cc
KC-F17-212-3,KC-F17-212-3,fall,-25.36,13.86,3.46,2.62,creek chub,cc
KC-F17-212-4,KC-F17-212-4,fall,-24.81,10.12,3.46,2.07,creek chub,cc
KC-F17-212-5,KC-F17-212-5,fall,-24.42,9.54,3.28,2.16,creek chub,cc
KC-F17-341-1,KC-F17-341-1,fall,-26.85,17.19,3.28,,johnny darter,invertivore
KC-F17-344-1,KC-F17-344-1,fall,-27.17,15.3,3.3,,blackside darter,invertivore
KC-F17-165-1,KC-F17-165-1,fall,-25.49,14.84,3.29,,northern hog sucker,herbivore
KC-F17-165-2,KC-F17-165-2,fall,-25.27,14.21,3.24,,northern hog sucker,herbivore
KC-F17-165-3,KC-F17-165-3,fall,-26.13,14.68,3.32,,northern hog sucker,herbivore
KC-F17-165-4,KC-F17-165-4,fall,-25.68,14.53,3.31,,northern hog sucker,herbivore
KC-F17-165-5,KC-F17-165-5,fall,-25.84,14.54,3.35,,northern hog sucker,herbivore
KC-F17-165-6 AVG,KC-F17-165-6,fall,-24.66,15.91,3.27,,northern hog sucker,herbivore
KC-F17-165-7,KC-F17-165-7,fall,-26.7,14.95,3.24,,northern hog sucker,herbivore
KC-F17-165-8,KC-F17-165-8,fall,-25.69,14.86,3.31,,northern hog sucker,herbivore
KC-F17-165-9,KC-F17-165-9,fall,-25.33,14.53,3.2,,northern hog sucker,herbivore
KC-F17-165-10,KC-F17-165-10,fall,-26.32,15.33,3.3,,northern hog sucker,herbivore
KC-F17-TER-1,KC-F17-TER-1,fall,-26.97,0.64,4.29,3.08,european garden snail,terbase
KC-F17-AQB-1,KC-F17-AQB-1,fall,-28.28,10.96,4.62,5.1,mayfly,aqbase
WH-S17-163-1,WH-S17-163-1,summer,-27.36,12.76,3.2,11.5,white sucker,detritivore
WH-S17-163-2,WH-S17-163-2,summer,-27.31,12.98,3.2,12.13,white sucker,detritivore
WH-S17-163-3,WH-S17-163-3,summer,-26.49,12.45,3.17,12.13,white sucker,detritivore
WH-S17-163-4,WH-S17-163-4,summer,-26.19,12.54,3.2,11.88,white sucker,detritivore
WH-S17-163-5,WH-S17-163-5,summer,-26.77,12.82,3.22,12.02,white sucker,detritivore
WH-S17-163-6,WH-S17-163-6,summer,-26.44,12.47,3.16,10.75,white sucker,detritivore
WH-S17-163-7 AVG,WH-S17-163-7,summer,-26.65,12.76,3.21,11.48,white sucker,detritivore
WH-S17-163-8,WH-S17-163-8,summer,-26.57,12.66,3.2,11.84,white sucker,detritivore
WH-S17-212-1,WH-S17-212-1,summer,-25.16,11.07,3.22,3.5,creek chub,cc
WH-S17-212-2,WH-S17-212-2,summer,-25.34,11.77,3.21,5.27,creek chub,cc
WH-S17-212-3,WH-S17-212-3,summer,-25.24,11.24,3.29,3.63,creek chub,cc
WH-S17-212-4,WH-S17-212-4,summer,-25.41,11.19,3.18,6.44,creek chub,cc
WH-S17-212-5,WH-S17-212-5,summer,-25.33,11.23,3.15,4.3,creek chub,cc
WH-S17-212-6,WH-S17-212-6,summer,-25.42,11.15,3.17,4.9,creek chub,cc
WH-S17-212-7,WH-S17-212-7,summer,-25.18,11.2,3.2,3.26,creek chub,cc
WH-S17-212-8,WH-S17-212-8,summer,-24.9,11.16,3.17,4.36,creek chub,cc
WH-S17-212-9,WH-S17-212-9,summer,-25.29,10.47,3.2,2.18,creek chub,cc
WH-S17-212-10,WH-S17-212-10,summer,-25.44,10.93,3.26,5.92,creek chub,cc
WH-S17-341-1,WH-S17-341-1,summer,-26.34,13.78,3.3,,johnny darter,invertivore
WH-S17-341-2 AVG,WH-S17-341-2,summer,-26.26,14.21,3.27,,johnny darter,invertivore
WH-S17-341-3,WH-S17-341-3,summer,-26.96,15.4,3.41,,johnny darter,invertivore
WH-S17-210-1,WH-S17-210-1,summer,-26.8,12.64,3.39,,blacknose dace,invertivore
WH-S17-210-2,WH-S17-210-2,summer,-26.66,12.33,3.44,,blacknose dace,invertivore
WH-S17-210-3,WH-S17-210-3,summer,-27.07,12.67,3.53,,blacknose dace,invertivore
WH-S17-210-4,WH-S17-210-4,summer,-26.58,12.5,3.37,,blacknose dace,invertivore
WH-S17-211-1,WH-S17-211-1,summer,-26.61,13.36,3.3,,longnose dace,invertivore
WH-S17-211-2,WH-S17-211-2,summer,-27.16,12.93,3.44,,longnose dace,invertivore
WH-S17-211-3,WH-S17-211-3,summer,-26.77,13.12,3.29,,longnose dace,invertivore
WH-S17-211-4,WH-S17-211-4,summer,-26.62,13.29,3.54,,longnose dace,invertivore
WH-S17-211-5,WH-S17-211-5,summer,-27.04,13.73,3.38,,longnose dace,invertivore
WH-S17-AQB-1,WH-S17-AQB-1,summer,-28.19,7.56,5.66,8.08,caddisfly,aqbase
WH-S17-TER-1,WH-S17-TER-1,summer,-28.64,-0.79,4.66,,aphids,terbase
WH-S17-AQB-2 AVG,WH-S17-AQB-2,summer,-29.01,10.48,4.84,10.76,mayfly,aqbase
WH-F17-163-1,WH-F17-163-1,fall,-26.56,13.72,3.4,11.92,white sucker,detritivore
WH-F17-163-2,WH-F17-163-2,fall,-26.58,13.5,3.35,11.51,white sucker,detritivore
WH-F17-163-3,WH-F17-163-3,fall,-27.1,14.49,3.36,15.24,white sucker,detritivore
WH-F17-163-4,WH-F17-163-4,fall,-25.82,13.28,3.37,12,white sucker,detritivore
WH-F17-163-5,WH-F17-163-5,fall,-26.94,13.69,3.35,11.7,white sucker,detritivore
WH-F17-163-6,WH-F17-163-6,fall,-26.6,13.02,3.32,10.89,white sucker,detritivore
WH-F17-163-7,WH-F17-163-7,fall,-26.48,12.66,3.28,11.37,white sucker,detritivore
WH-F17-163-8,WH-F17-163-8,fall,-26.31,13.1,3.29,11.63,white sucker,detritivore
WH-F17-163-9,WH-F17-163-9,fall,-26.64,12.7,3.33,11.1,white sucker,detritivore
WH-F17-163-10,WH-F17-163-10,fall,-26.17,11.91,3.28,10.84,white sucker,detritivore
WH-F17-198-1,WH-F17-198-1,fall,-27.62,15.12,3.44,,common shiner,invertivore
WH-F17-198-2,WH-F17-198-2,fall,-26.96,15.31,3.47,,common shiner,invertivore
WH-F17-198-3 AVG,WH-F17-198-3,fall,-28.48,15.2,3.32,,common shiner,invertivore
WH-F17-212-1,WH-F17-212-1,fall,-25.22,11.22,3.41,4.16,creek chub,cc
WH-F17-212-2,WH-F17-212-2,fall,-25.18,10.44,3.36,3.4,creek chub,cc
WH-F17-212-3,WH-F17-212-3,fall,-25.07,11.05,3.37,4.02,creek chub,cc
WH-F17-212-4,WH-F17-212-4,fall,-25.07,13.95,3.32,10.3,creek chub,cc
WH-F17-212-5,WH-F17-212-5,fall,-25.03,11.67,3.37,2.91,creek chub,cc
WH-F17-212-6,WH-F17-212-6,fall,-25.46,10.73,3.35,3.91,creek chub,cc
WH-F17-212-7,WH-F17-212-7,fall,-25.48,12.01,3.44,4.63,creek chub,cc
WH-F17-212-8,WH-F17-212-8,fall,-25.15,11.87,3.4,4.83,creek chub,cc
WH-F17-212-9,WH-F17-212-9,fall,-25.2,11.38,3.43,5.3,creek chub,cc
WH-F17-212-10,WH-F17-212-10,fall,-24.7,11.42,3.22,3.41,creek chub,cc
WH-F17-341-1,WH-F17-341-1,fall,-27.69,14.92,3.31,,johnny darter,invertivore
WH-F17-210-1,WH-F17-210-1,fall,-26.19,13.31,3.45,,blacknose dace,invertivore
WH-F17-210-2 AVG,WH-F17-210-2,fall,-26.86,12.89,3.49,,blacknose dace,invertivore
WH-F17-210-3,WH-F17-210-3,fall,-26.12,13.85,3.36,,blacknose dace,invertivore
WH-F17-210-4,WH-F17-210-4,fall,-26.85,13.47,3.71,,blacknose dace,invertivore
WH-F17-210-5,WH-F17-210-5,fall,-26.65,13.34,3.51,,blacknose dace,invertivore
WH-F17-210-6,WH-F17-210-6,fall,-26.42,13.56,3.6,,blacknose dace,invertivore
WH-F17-210-7,WH-F17-210-7,fall,-26.64,13.56,3.78,,blacknose dace,invertivore
WH-F17-210-8,WH-F17-210-8,fall,-26.17,13.56,3.62,,blacknose dace,invertivore
WH-F17-210-9,WH-F17-210-9,fall,-26.46,13.77,3.53,,blacknose dace,invertivore
WH-F17-210-10,WH-F17-210-10,fall,-26.42,13.05,3.48,,blacknose dace,invertivore
WH-F17-076-1,WH-F17-076-1,fall,-25.3,11.54,3.29,,rainbow trout,trout
WH-F17-076-2,WH-F17-076-2,fall,-25.85,9.75,3.37,,rainbow trout,trout
WH-F17-076-3,WH-F17-076-3,fall,-27.32,13.63,3.23,,rainbow trout,trout
WH-F17-TER-1,WH-F17-TER-1,fall,-29.15,8.61,6.65,3.61,hemiptera,terbase
WH-F17-076-4 AVG,WH-F17-076-4,fall,-23.66,15.42,3.87,,rainbow trout,trout
WH-F17-AQB-1,WH-F17-AQB-1,fall,-29.69,5.78,5.8,1.74,cranefly larvae,aqbase
BG-S17-163-1,BG-S17-163-1,summer,-29.02,10.58,3.32,-1.71,white sucker,detritivore
BG-S17-210-2,BG-S17-210-2,summer,-28.6,10.07,3.44,,blacknose dace,invertivore
BG-S17-210-3,BG-S17-210-3,summer,-28.55,10.08,4.07,,blacknose dace,invertivore
BG-S17-210-8,BG-S17-210-8,summer,-27.37,9.04,3.4,,blacknose dace,invertivore
BG-S17-210-9,BG-S17-210-9,summer,-28.71,10.19,3.45,,blacknose dace,invertivore
BG-S17-210-10,BG-S17-210-10,summer,-27.57,8.44,3.74,,blacknose dace,invertivore
BG-S17-210-12,BG-S17-210-12,summer,-29.52,10.23,3.58,,blacknose dace,invertivore
BG-S17-210-13,BG-S17-210-13,summer,-29.07,8.34,4.44,,blacknose dace,invertivore
BG-S17-210-14,BG-S17-210-14,summer,-29.09,10.33,3.54,,blacknose dace,invertivore
BG-S17-210-15,BG-S17-210-15,summer,-28.15,9.63,3.36,,blacknose dace,invertivore
BG-S17-210-16,BG-S17-210-16,summer,-27.48,8.88,3.58,,blacknose dace,invertivore
BG-F17-163-1,BG-F17-163-1,fall,-29.24,11.4,3.42,-1.7,white sucker,detritivore
BG-F17-163-2,BG-F17-163-2,fall,-29.07,11.58,3.46,-1.82,white sucker,detritivore
BG-F17-163-3,BG-F17-163-3,fall,-29.85,11.04,3.36,-2.59,white sucker,detritivore
BG-F17-210-1,BG-F17-210-1,fall,-29.2,10.71,3.78,,blacknose dace,invertivore
BG-F17-210-2,BG-F17-210-2,fall,-29.24,10.82,3.59,,blacknose dace,invertivore
BG-F17-210-3,BG-F17-210-3,fall,-28.44,9.48,3.64,,blacknose dace,invertivore
BG-F17-210-4,BG-F17-210-4,fall,-29.16,8.85,4.28,,blacknose dace,invertivore
BG-F17-210-5,BG-F17-210-5,fall,-27.99,8.69,3.57,,blacknose dace,invertivore
BG-F17-210-6,BG-F17-210-6,fall,-29.89,10.23,3.8,,blacknose dace,invertivore
BG-F17-210-7,BG-F17-210-7,fall,-28.31,8.77,3.86,,blacknose dace,invertivore
BG-F17-210-8,BG-F17-210-8,fall,-28.13,9,3.64,,blacknose dace,invertivore
BG-F17-210-9,BG-F17-210-9,fall,-27.19,8.2,3.59,,blacknose dace,invertivore
BG-F17-210-10 AVG,BG-F17-210-10,fall,-27.9,9.15,3.6,,blacknose dace,invertivore
BG-F17-TER-1,BG-F17-TER-1,fall,-33.57,0.79,5.78,25.87,caterpillar,terbase
BG-F17-AQB-1,BG-F17-AQB-1,fall,-28.85,8.27,4.4,-0.67,mayfly/caddisfly,aqbase
DE-S17-TER-1,DE-S17-TER-1,summer,-28.88,1.82,4.35,-4.02,caterpillar,terbase
DE-S17-AQB-1,DE-S17-AQB-1,summer,-28.3,6.5,5.15,-1.06,mayfly/caddisfly,aqbase
LEF-S17-TER-1,LEF-S17-TER-1,summer,-28.19,-0.7,4.41,-2.99,caterpillar,terbase
LEF-S17-AQB-1,LEF-S17-AQB-1,summer,-38.42,9.49,10.43,2.59,algae,algae
BS-S17-TER-1,BS-S17-TER-1,summer,-33.54,-1.89,6.75,2.67,white tree hopper,terbase
KC-S17-212-6,KC-S17-212-6,summer,-25.85,11.07,3.27,,creek chub,cc
WA-S17-198-1,WA-S17-198-1,summer,-25.87,10.58,3.45,,common shiner,invertivore
WA-S17-198-2,WA-S17-198-2,summer,-26.78,10.86,3.74,,common shiner,invertivore
WA-S17-198-3,WA-S17-198-3,summer,-26.53,10.22,3.92,,common shiner,invertivore
WA-S17-198-4 AVG,WA-S17-198-4,summer,-26.48,12.85,3.47,,common shiner,invertivore
WA-S17-198-5,WA-S17-198-5,summer,-25.82,10.13,3.45,,common shiner,invertivore
WA-S17-198-6,WA-S17-198-6,summer,-26.5,10.58,3.54,,common shiner,invertivore
WA-S17-198-7,WA-S17-198-7,summer,-27.14,12.24,3.61,,common shiner,invertivore
WA-S17-212-2,WA-S17-212-2,summer,-25.56,11.02,3.34,0.02,creek chub,cc
WA-S17-212-3,WA-S17-212-3,summer,-25.02,9.67,3.36,0.2,creek chub,cc
WA-S17-212-4,WA-S17-212-4,summer,-25.59,10.03,3.28,-0.52,creek chub,cc
WA-S17-212-5,WA-S17-212-5,summer,-25.35,9.26,3.3,0.18,creek chub,cc
WA-S17-212-6,WA-S17-212-6,summer,-25.79,9.98,3.34,-0.46,creek chub,cc
WA-S17-212-7,WA-S17-212-7,summer,-25.78,9.94,3.64,0.18,creek chub,cc
WA-S17-212-8,WA-S17-212-8,summer,-25.76,10.33,3.35,-0.55,creek chub,cc
WA-S17-212-9,WA-S17-212-9,summer,-25.34,10.54,3.36,-0.27,creek chub,cc
WA-S17-212-10,WA-S17-212-10,summer,-25.34,9.5,3.47,-0.09,creek chub,cc
WA-S17-201-1 AVG,WA-S17-201-1,summer,-26.62,11.48,3.57,,spottail shiner,herbivore
WA-S17-200-1,WA-S17-200-1,summer,-28.22,12.72,3.41,,blacknose shiner,herbivore
WA-S17-210-1,WA-S17-210-1,summer,-26.92,12.58,3.43,,blacknose dace,invertivore
WA-S17-210-2,WA-S17-210-2,summer,-26.85,12.42,3.54,,blacknose dace,invertivore
WA-S17-210-3,WA-S17-210-3,summer,-26.19,12.33,3.28,,blacknose dace,invertivore
WA-S17-210-4,WA-S17-210-4,summer,-26.59,12.2,3.5,,blacknose dace,invertivore
WA-S17-210-6,WA-S17-210-6,summer,-26.42,11.49,3.46,,blacknose dace,invertivore
WA-S17-210-8,WA-S17-210-8,summer,-26.74,12.51,3.26,,blacknose dace,invertivore
WA-S17-210-10,WA-S17-210-10,summer,-27.54,13.62,3.35,,blacknose dace,invertivore
WA-S17-210-11,WA-S17-210-11,summer,-26.86,12.56,3.37,,blacknose dace,invertivore
WA-S17-210-13,WA-S17-210-13,summer,-26.67,12.18,3.43,,blacknose dace,invertivore
