"","X.x","old.sampleid.x","sampleid","replicate","sitecode.x","species.x","role.x","delta13c","delta15n","c_n_ratio","old.sampleid.y","sitename.x","sitecode.y","species.y","role.y","delta2h","ampl","p_h","delta13c_norm","d13c_algae","d13c_aqbase","d13c_det","d13c_norm_algae","d13c_norm_aqbase","d13c_norm_det","d13c_norm_terbase","d13c_terbase","d15n_algae","d15n_aqbase","d15n_det","d15n_terbase","dh2_algae","dh2_aqbase","dh2_det","dh2_terbase","ter_energy_pp","ter_energy_sc","tp_1_algae","tp_1_det","tp_1_terbase","tp_1_aqbase","tp_2_pp","tp_2_sc","c_ter_energy_pp","c_ter_energy_sc","c_tp_1_algae","c_tp_1_det","c_tp_1_terbase","c_tp_1_aqbase","c_tp_2_pp","c_tp_2_sc","pc1","adj_pc1","pc2","adj_pc2","s_diversity","peilou_evenness","species_richness","rock.bass","blacknose.dace","blackside.darter","bluntnose.minnow","brook.stickleback","brown.trout","central.mudminnow","common.carp","common.shiner","creek.chub","fathead.minnow","johnny.darter","largemouth.bass","least.darter","longnose.dace","mottled.sculpin","northern.hog.sucker","northern.redbelly.dace","pumpkinseed","rainbow.trout","smallmouth.bass","stonecat","unknown","white.sucker","yellow.perch","white.crappie","mad.tom.sp.","ter_energy_pp_0_1","sitecode","sitename.y","pass","species","number","forkmm","totalmm","weight","kept","sex","stomach","stomachsource","notes","X.y","X.1"
"11",NA,NA,"AC-S18-341-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","4","",36,0.5,"N","","","","","",""
"12",7,"AC-S18-212-2","AC-S18-212-2",0,"AC","creek chub","cc",-25.391,15.483,3.298812458,"AC-S18-212-2","Archie Coulter","AC","creek chub","cc",-109.52,16880,6.7,-25.44517566658,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.14109216703731",0.356467904855002,1.41715455490196,3.64857704490196,7.27144049852941,2.69027493382353,3.96341327959185,4.32331342446812,-6.12102880934679,0.921834617112409,-3.42986990775882,-4.15358319938627,1.96581794129265,2.40312224972941,13.0376987254647,14.0376987254647,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","2","creek chub","2","60",65,2.9,"Y","M","algae/choron/insects/detritus","aquatic","EC","",""
"13",NA,NA,"AC-S18-341-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","5","",35,0.3,"N","","","","","",""
"14",NA,NA,"AC-S18-341-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","6","",30,0.3,"N","","","","","",""
"15",NA,NA,"AC-S18-341-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","7","",37,0.4,"N","","","","","",""
"16",NA,NA,"AC-S18-344-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","blackside darter","4","",65,2.6,"Y","F","detritus","aquatic","EC","",""
"17",NA,NA,"AC-S18-341-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","8","",115,1,"Y","M","detritus","aquatic","EC","",""
"18",NA,NA,"AC-S18-341-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","1","johnny darter","9","45",45,1,"Y","M","detritus","aquatic","EC","",""
"19",NA,NA,"AC-S18-341-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","johnny darter","10","",35,0.4,"N","","","","","",""
"20",NA,NA,"AC-S18-311-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","rock bass","4","45",47,1.6,"N","","","","EC","",""
"21",8,"AC-S18-212-3","AC-S18-212-3",0,"AC","creek chub","cc",-26.076,15.504,3.367080468,"AC-S18-212-3","Archie Coulter","AC","creek chub","cc",-111.37,17331,6.8,-26.06259033668,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.09537929330368",0.316281090474639,1.4233310254902,3.6547535154902,7.27761696911765,2.69645140441176,3.86758501564834,4.14538744486181,-6.37194661357982,0.506580190101269,-3.61146245778824,-4.33517574941569,1.78422539126324,2.2215296997,13.2254677460824,14.2254677460824,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","2","creek chub","3","50",54,1.7,"Y","F","detritus/insects","unkown","","",""
"22",NA,NA,"AC-S18-311-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","rock bass","5","25",26,0.5,"N","","","","","",""
"23",NA,NA,"AC-S18-311-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","rock bass","6","23",25,0.2,"N","","","","","",""
"24",NA,NA,"AC-S18-235-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","stonecat","1","",35,0.5,"N","","","","","",""
"25",NA,NA,"AC-S18-341-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","johnny darter","11","",31,0.2,"N","","","","","",""
"26",9,"AC-S18-212-4","AC-S18-212-4",0,"AC","creek chub","cc",-24.509,11.338,3.341681557,"AC-S18-212-4","Archie Coulter","AC","creek chub","cc",-103.94,12847,5.9,-24.52073525857,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.27897207808253",0.477680026067123,0.198036907843137,2.42945939784314,6.05232285147059,1.47115728676471,3.05196396695853,3.65948857313122,-5.74533550538857,1.54358526627007,-3.15797567010882,-3.88168896173627,2.23771217894265,2.67501648737941,11.5466868407559,12.5466868407559,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","2","creek chub","4","45",48,1.3,"Y","I","algae/detritus","aquatic","EC","",""
"27",NA,NA,"AC-S18-341-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","2","johnny darter","12","",31,0.2,"N","","","","","",""
"28",10,"AC-S18-212-5","AC-S18-212-5",0,"AC","creek chub","cc",-24.09,10.848,3.368839378,"AC-S18-212-5","Archie Coulter","AC","creek chub","cc",-112.74,14208,6.4,-24.07484901578,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.06152705707932",0.286521125230803,0.053919260784314,2.28534175078431,5.90820520441177,1.32703963970588,2.42263460969462,2.63964035217402,-5.56412698800679,1.84347486272543,-3.02683265752353,-3.75054594915098,2.36885519152794,2.80615949996471,11.2714261811118,12.2714261811118,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","2","creek chub","5","50",55,2,"Y","F","algae/detritus","aquatic","EC","",""
"29",NA,NA,"AC-S18-198-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC","Archie Coulter","3","common shiner","1","85",92,7.7,"Y","F","bugs/algae","unkown","EC","",""
"30",11,"AC-S18-212-MT1","AC-S18-212-MT1",0,"AC","creek chub","cc",-25.373,16.302,3.303369628,"AC-S18-212-MT1","Archie Coulter","AC","creek chub","cc",-110.49,17029,7,-25.42266406828,-18.46317496,-28.92846499,-28.3510842766667,-10.3836179802,-26.81579131566,-7.92299278866667,-25.328956666975,-26.85641291,14.0646745133333,13.136065225,6.47783804733333,-2.439897695,-155.7,-125.93,-115.23,-79.895,"1.117123795404",0.335396980558271,1.65803690784314,3.88945939784314,7.51232285147059,2.93115728676471,4.15081206902179,4.46766638460459,-6.11188007821234,0.93697523703266,-3.42324884943529,-4.14696214106274,1.97243899961618,2.40974330805294,13.2719600200824,14.2719600200824,-1.88647,0,0.84226,3.37482,1.574103,0.8785236,6,6,0,4,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"AC","Archie Coulter","MT2","creek chub","","",NA,NA,"Y","","","","Pria #6","",""
"31",NA,NA,"BW-S18-078-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","1","brown trout","1","270",285,237,"Y","M","Cray Fish, Fly Beetle","both","","",""
"32",NA,NA,"BW-S18-078-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","1","brown trout","2","228",240,126,"Y","F","Grubs, insects, fish","both","","",""
"33",NA,NA,"BW-S18-078-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","1","brown trout","3","174",186,67.5,"Y","M","Caddisfly larvae","aquatic","","",""
"34",NA,NA,"BW-S18-078-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","2","brown trout","4","184",196,71.5,"Y","M","Grubs, Flies","terrestrial","","",""
"35",NA,NA,"BW-S18-078-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","2","brown trout","5","269",255,216,"Y","M","terrestrial and aquatic insects","both","","",""
"36",NA,NA,"BW-S18-078-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BW","Backus Woods","2","brown trout","6","270",284,213.5,"Y","F","Insects","unknown","","",""
