,old.sampleid.x,sampleid,replicate,sitecode.x,species.x,role.x,delta13c,delta15n,c_n_ratio,old.sampleid.y,sitename,sitecode.y,species.y,role.y,delta2h,ampl,p_h
12,AC-S18-341-8,AC-S18-341-8,0,AC,johnny darter,invertivore,-26.118,18.809,3.480099199,NA,NA,NA,NA,NA,NA,NA,NA
13,AC-S18-341-9,AC-S18-341-9,0,AC,johnny darter,invertivore,-25.549,18.389,3.304861134,AC-S18-341-9,Archie Coulter,AC,johnny darter,invertivore,-115.08,5136,6.6
14,AC-S18-ALGAE-2,AC-S18-ALGAE-2,0,AC,algae,algae,-18.378,13.958,11.87657889,AC-S18-ALGAE-2,Archie Coulter,AC,algae,algae,-155.87,20990,1.9
15,AC-S18-ALGAE-3,AC-S18-ALGAE-3,0,AC,algae,algae,-18.2,14.106,12.16980453,AC-S18-ALGAE-3,Archie Coulter,AC,algae,algae,-155.56,17121,1.7
16,AC-S18-AQB-2,AC-S18-AQB-2,0,AC,mayfly/caddisfly,aqbase,-28.84,13.123,5.4762578,AC-S18-AQB-2,Archie Coulter,AC,mayfly/caddisfly,aqbase,-99.76,4408,1.8
17,AC-S18-DETRITUS-2,AC-S18-DETRITUS-2,0,AC,detritus,det,-28.05,6.996,24.89049493,AC-S18-DETRITUS-2,Archie Coulter,AC,detritus,det,-102.4,22978,5.8
18,AC-S18-DETRITUS-3,AC-S18-DETRITUS-3,0,AC,detritus,det,-28.231,6.969,23.82962279,AC-S18-DETRITUS-3,Archie Coulter,AC,detritus,det,-142.27,17435,3.6
19,AC-S18-GOLDENROD-1 A,AC-S18-GOLDENROD-1 A,1,AC,goldenrod,terpp,-30.731,2.794,26.01477909,NA,NA,NA,NA,NA,NA,NA,NA
20,AC-S18-GOLDENROD-1 B,AC-S18-GOLDENROD-1 B,1,AC,goldenrod,terpp,-31.022,2.635,25.41727257,NA,NA,NA,NA,NA,NA,NA,NA
21,AC-S18-GOLDENROD-1 C,AC-S18-GOLDENROD-1 C,1,AC,goldenrod,terpp,-30.974,2.691,26.02450711,NA,NA,NA,NA,NA,NA,NA,NA
22,AC-S18-GOLDENROD-1,AC-S18-GOLDENROD-1,0,AC,goldenrod,terpp,-30.909,2.706666667,25.81885292,AC-S18-GROD-1,Archie Coulter,AC,goldenrod,terpp,-143.95,18050,7.4
23,AC-S18-GOLDENROD-2,AC-S18-GOLDENROD-2,0,AC,goldenrod,terpp,-30.883,2.624,25.76125357,AC-S18-GROD-2,Archie Coulter,AC,goldenrod,terpp,-137.75,15357,6.2
24,AC-S18-GOLDENROD-3,AC-S18-GOLDENROD-3,0,AC,goldenrod,terpp,-30.875,2.756,25.80691392,AC-S18-GROD-3,Archie Coulter,AC,goldenrod,terpp,-140.55,15331,6.1
25,AC-S18-SNAILS-2,AC-S18-SNAILS-2,0,AC,european garden snail,terbase,-26.75,-2.161,4.844507985,AC-S18-SNAILS-2,Archie Coulter,AC,european garden snail,terbase,-80.02,18952,6.7
26,BG-S18-ALGAE-1,BG-S18-ALGAE-1,0,BG,algae,algae,-24.327,4.018,19.02858941,BG-S18-ALGAE-1,Gilvesy,BG,algae,algae,-109.72,9447,1.1
27,BG-S18-ALGAE-2,BG-S18-ALGAE-2,0,BG,algae,algae,-24.27,4.561,18.91546827,BG-S18-ALGAE-2,Gilvesy,BG,algae,algae,-107.45,12273,1.3
28,BG-S18-ALGAE-3 A,BG-S18-ALGAE-3 A,1,BG,algae,algae,-24.449,4.429,19.22785064,NA,NA,NA,NA,NA,NA,NA,NA
29,BG-S18-ALGAE-3 B,BG-S18-ALGAE-3 B,1,BG,algae,algae,-24.732,4.234,19.1378072,NA,NA,NA,NA,NA,NA,NA,NA
30,BG-S18-ALGAE-3 C,BG-S18-ALGAE-3 C,1,BG,algae,algae,-24.482,4.293,19.15395518,NA,NA,NA,NA,NA,NA,NA,NA
31,BG-S18-ALGAE-3,BG-S18-ALGAE-3,0,BG,algae,algae,-24.55433333,4.318666667,19.17320434,BG-S18-ALGAE-3,Gilvesy,BG,algae,algae,-108.35,11076,1.1
32,BG-S18-CAT-1,BG-S18-CAT-1,0,BG,caterpillar,terbase,-29.64539509,1.148929031,6.008376307,BG-S18-CAT-1,Gilvesy,BG,caterpillar,terbase,-138.5,18108,7.7
33,BG-S18-CAT-2,BG-S18-CAT-2,0,BG,caterpillar,terbase,-29.299,1.577,5.889858339,BG-S18-CAT-2,Gilvesy,BG,caterpillar,terbase,-137.03,17457,7.6
34,BG-S18-CAT-3,BG-S18-CAT-3,0,BG,caterpillar,terbase,-29.5,1.168,5.881944283,BG-S18-CAT-3,Gilvesy,BG,caterpillar,terbase,-136.93,16769,7.7
35,BG-S18-DETRITUS-1,BG-S18-DETRITUS-1,0,BG,detritus,det,-27.328,2,26.11853561,BG-S18-DETRITUS-1,Gilvesy,BG,detritus,det,-115.39,10211,2.8
36,BG-S18-DETRITUS-2,BG-S18-DETRITUS-2,0,BG,detritus,det,-27.385,2.131,26.66517605,BG-S18-DETRITUS-2,Gilvesy,BG,detritus,det,-115.19,10643,2.7
37,BG-S18-DETRITUS-3,BG-S18-DETRITUS-3,0,BG,detritus,det,-27.375,1.856,25.82059871,BG-S18-DETRITUS-3,Gilvesy,BG,detritus,det,-114.61,9625,3
38,BG-S18-GOL-1,BG-S18-GOL-1,0,BG,goldenrod,terpp,-34.72737901,-2.121730029,16.26197761,BG-S18-GOL-1,Gilvesy,BG,goldenrod,terpp,-145,14157,6.1
39,BG-S18-GOLDENROD-2,BG-S18-GOL-2,0,BG,goldenrod,terpp,-34.104,-0.732,16.72911022,BG-S18-GOL-2,Gilvesy,BG,goldenrod,terpp,-142.83,14328,6.1
40,BG-S18-GOLDENROD-3,BG-S18-GOL-3,0,BG,goldenrod,terpp,-34.154,-0.692,17.05502929,BG-S18-GOL-3,Gilvesy,BG,goldenrod,terpp,-141.42,14941,6
41,BS-S18-076-2,BS-S18-076-2,0,BS,rainbow trout,trout,-25.413,5.169,3.392931393,BS-S18-076-2,Stewart Farm,BS,rainbow trout,invertivore,-92.93,6225,7.1
42,BS-S18-076-3,BS-S18-076-3,0,BS,rainbow trout,trout,-24.929,8.004,3.253164557,BS-S18-076-3,Stewart Farm,BS,rainbow trout,invertivore,-97.08,5655,6.7
43,BS-S18-076-4,BS-S18-076-4,0,BS,rainbow trout,trout,-24.969,6.02,3.342837274,BS-S18-076-4,Stewart Farm,BS,rainbow trout,invertivore,-89.5,7063,6.8
44,BS-S18-ALGAE-1,BS-S18-ALGAE-1,0,BS,algae,algae,-27.773,0.924,23.95454545,BS-S18-ALGAE-1,Stewart Farm,BS,algae,algae,-119.17,9609,2.4
45,BS-S18-ALGAE-2,BS-S18-ALGAE-2,0,BS,algae,algae,-27.443,0.903,20.80681818,BS-S18-ALGAE-2,Stewart Farm,BS,algae,algae,-119.41,8551,2
46,BS-S18-ALGAE-3,BS-S18-ALGAE-3,0,BS,algae,algae,-27.796,1.168,20.35555556,BS-S18-ALGAE-3,Stewart Farm,BS,algae,algae,-121.98,8648,2.4
47,BS-S18-CADDIS-1,BS-S18-CADDIS-1,0,BS,caddisfly,aqbase,-28.2,4.369,4.750251762,BS-S18-CADDIS-1,Stewart Farm,BS,caddisfly,aqbase,-113.25,4873,6.5
48,BS-S18-CADDIS-2,BS-S18-CADDIS-2,0,BS,caddisfly,aqbase,-28.15,4.32,4.747975709,BS-S18-CADDIS-2,Stewart Farm,BS,caddisfly,aqbase,-98.74,4872,6.3
49,BS-S18-DET-1,BS-S18-DET-1,0,BS,detritus,det,-27.072,0.742,32.02597403,BS-S18-DET-1,Stewart Farm,BS,detritus,det,-117.9,3768,2.6
50,BS-S18-DET-2 A,BS-S18-DET-2 A,1,BS,detritus,det,-27.151,0.554,32.63157895,NA,NA,NA,NA,NA,NA,NA,NA
51,BS-S18-DET-2 B,BS-S18-DET-2 B,1,BS,detritus,det,-26.926,0.65,32.41891892,NA,NA,NA,NA,NA,NA,NA,NA
52,BS-S18-DET-2 C,BS-S18-DET-2 C,1,BS,detritus,det,-27.085,0.942,32.28571429,NA,NA,NA,NA,NA,NA,NA,NA
53,BS-S18-DET-2,BS-S18-DET-2,0,BS,detritus,det,-27.054,0.715333333,32.44540405,BS-S18-DET-2,Stewart Farm,BS,detritus,det,-115.32,3610,2.9
54,BS-S18-DET-3,BS-S18-DET-3,0,BS,detritus,det,-27.014,0.348,32.73183099,BS-S18-DET-3,Stewart Farm,BS,detritus,det,-115.52,3637,2.8
55,BS-S18-GOL-1,BS-S18-GOL-1,0,BS,goldenrod,terpp,-33.573,-3.67,18.35391226,BS-S18-GOL-1,Stewart Farm,BS,goldenrod,terpp,-95.61,4183,5.6
56,BS-S18-GOL-2,BS-S18-GOL-2,0,BS,goldenrod,terpp,-33.504,-3.442,18.56287361,BS-S18-GOL-2,Stewart Farm,BS,goldenrod,terpp,-97.84,5069,5.7
57,BS-S18-GOL-3,BS-S18-GOL-3,0,BS,goldenrod,terpp,-33.545,-3.452,18.40469939,BS-S18-GOL-3,Stewart Farm,BS,goldenrod,terpp,-97.47,5206,5.7
58,BS-S18-TRB-1,BS-S18-TRB-1,0,BS,caterpillar,terbase,-31.294,1.805,4.388244418,BS-S18-TRB-1,Stewart Farm,BS,caterpillar,terbase,-104.1,6384,6.6
59,BS-S18-TRB-2,BS-S18-TRB-2,0,BS,caterpillar,terbase,-30.971,1.877,4.330055148,BS-S18-TRB-2,Stewart Farm,BS,caterpillar,terbase,-106.92,5378,6.5
60,BS-S18-TRB-3,BS-S18-TRB-3,0,BS,caterpillar,terbase,-31.233,2.017,4.306137786,BS-S18-TRB-3,Stewart Farm,BS,caterpillar,terbase,-105.31,5782,7
61,BW-S18-163-3,BW-S18-163-3,0,BW,white sucker,detritivore,-27.243,10.796,3.521080557,BW-S18-163-3,Backus Woods,BW,white sucker,detritivore,-110.43,14687,6.9
62,BW-S18-163-4,BW-S18-163-4,0,BW,white sucker,detritivore,-28.613,9.99,3.289518188,NA,NA,NA,NA,NA,NA,NA,NA
63,BW-S18-163-7,BW-S18-163-7,0,BW,white sucker,detritivore,-29.401,10.013,3.307199091,NA,NA,NA,NA,NA,NA,NA,NA
64,BW-S18-212-1,BW-S18-212-1,0,BW,creek chub,cc,-25.247,7.907,3.298964222,BW-S18-212-1,Backus Woods,BW,creek chub,cc,-91.04,14581,6.7
65,BW-S18-212-2,BW-S18-212-2,0,BW,creek chub,cc,-25.596,7.755,3.396372125,BW-S18-212-2,Backus Woods,BW,creek chub,cc,-92.81,16641,6.8
66,BW-S18-341-1 A,BW-S18-341-1 A,1,BW,johnny darter,invertivore,-28.376,11.875,3.282552715,NA,NA,NA,NA,NA,NA,NA,NA
67,BW-S18-341-1 B,BW-S18-341-1 B,1,BW,johnny darter,invertivore,-28.428,11.923,3.282532999,NA,NA,NA,NA,NA,NA,NA,NA
68,BW-S18-341-1 C,BW-S18-341-1 C,1,BW,johnny darter,invertivore,-28.392,11.839,3.279396543,NA,NA,NA,NA,NA,NA,NA,NA
69,BW-S18-341-1,BW-S18-341-1,0,BW,johnny darter,invertivore,-28.39866667,11.879,3.281494086,NA,NA,NA,NA,NA,NA,NA,NA
70,BW-S18-341-2,BW-S18-341-2,0,BW,johnny darter,invertivore,-29.435,11.421,3.340554049,BW-S18-341-2,Backus Woods,BW,johnny darter,invertivore,-107.66,16273,7
71,BW-S18-341-3,BW-S18-341-3,0,BW,johnny darter,invertivore,-29.202,11.728,3.407472105,NA,NA,NA,NA,NA,NA,NA,NA
72,BW-S18-630-1,BW-S18-630-1,0,BW,blacknose dace,invertivore,-26.681,8.546,3.7995832,NA,NA,NA,NA,NA,NA,NA,NA
73,BW-S18-630-4,BW-S18-630-4,0,BW,blacknose dace,invertivore,-26.466,8.684,3.518161544,NA,NA,NA,NA,NA,NA,NA,NA
74,BW-S18-630-8,BW-S18-630-8,0,BW,blacknose dace,invertivore,-27.243,9.384,3.515596519,NA,NA,NA,NA,NA,NA,NA,NA
75,BW-S18-ALG-1,BW-S18-ALG-1,0,BW,algae,algae,-31.915,8.353,8.407478271,BW-S18-ALG-1,Backus Woods,BW,algae,algae,-187.63,28224,5.1
76,BW-S18-ALG-2,BW-S18-ALG-2,0,BW,algae,algae,-32.477,8.638,7.188412177,BW-S18-ALG-2,Backus Woods,BW,algae,algae,-182.68,6896,5.2
77,BW-S18-ALG-3,BW-S18-ALG-3,0,BW,algae,algae,-31.719,8.318,8.755160407,BW-S18-ALG-3,Backus Woods,BW,algae,algae,-169.18,22254,5
78,BW-S18-CATERPILLAR-1,BW-S18-CATERPILLAR-1,0,BW,caterpillar,terbase,-29.231,-0.734,6.626077024,BW-S18-CATERPILLAR-1,Backus Woods,BW,caterpillar,terbase,-108.67,16055,7
79,BW-S18-CATERPILLAR-2,BW-S18-CATERPILLAR-2,0,BW,caterpillar,terbase,-28.822,-0.696,6.841088824,BW-S18-CATERPILLAR-2,Backus Woods,BW,caterpillar,terbase,-114.63,19446,7.6
80,BW-S18-DET-1,BW-S18-DET-1,0,BW,detritus,det,-28.268,2.425,21.25420826,BW-S18-DET-1,Backus Woods,BW,detritus,det,-80.02,18351,4.3
81,BW-S18-DET-2,BW-S18-DET-2,0,BW,detritus,det,-28.228,2.526,23.45526681,BW-S18-DET-2,Backus Woods,BW,detritus,det,-103.58,23791,4.8
82,BW-S18-DET-3 A,BW-S18-DET-3 A,1,BW,detritus,det,-28.296,2.448,21.28396512,NA,NA,NA,NA,NA,NA,NA,NA
83,BW-S18-DET-3 B,BW-S18-DET-3 B,1,BW,detritus,det,-28.353,2.401,21.32576713,NA,NA,NA,NA,NA,NA,NA,NA
84,BW-S18-DET-3 C,BW-S18-DET-3 C,1,BW,detritus,det,-28.194,2.397,21.21055545,NA,NA,NA,NA,NA,NA,NA,NA
85,BW-S18-DET-3,BW-S18-DET-3,0,BW,detritus,det,-28.281,2.415333333,21.27342923,BW-S18-DET-3,Backus Woods,BW,detritus,det,-105.18,19942,4.4
86,BW-S18-GOL-1,BW-S18-GOL-1,0,BW,goldenrod,terpp,-31.747,-1.191,21.62046876,BW-S18-GOL-1,Backus Woods,BW,goldenrod,terpp,-115.43,15287,5.7
87,BW-S18-GOL-2,BW-S18-GOL-2,0,BW,goldenrod,terpp,-31.664,-1.251,21.90977493,BW-S18-GOL-2,Backus Woods,BW,goldenrod,terpp,-115.62,15100,5.5
88,BW-S18-MAYFLY-1,BW-S18-MAYFLY-1,0,BW,mayfly,aqbase,-29.497,5.059,5.178097491,BW-S18-MAYFLY-1,Backus Woods,BW,mayfly,aqbase,-107.72,17493,5.9
89,BW-S18-MAYFLY-2,BW-S18-MAYFLY-2,0,BW,mayfly,aqbase,-30.039,7.18,4.885264953,BW-S18-MAYFLY-2,Backus Woods,BW,mayfly,aqbase,-95.71,721,5.6
90,BW-S18-SNAIL,BW-S18-SNAIL,0,BW,european garden snail,terbase,-26.868,1.845,4.519626195,BW-S18-SNAIL,Backus Woods,BW,european garden snail,terbase,-78.62,19892,6.6
91,DE-218-GOL-1 A,DE-S18-GOL-1 A,1,DE,goldenrod,terpp,-33.273,1.263,15.60638298,NA,NA,NA,NA,NA,NA,NA,NA
92,DE-218-GOL-1 B,DE-S18-GOL-1 B,1,DE,goldenrod,terpp,-33.307,1.283,16.0989011,NA,NA,NA,NA,NA,NA,NA,NA
93,DE-218-GOL-1 C,DE-S18-GOL-1 C,1,DE,goldenrod,terpp,-33.394,1.34,15.70921986,NA,NA,NA,NA,NA,NA,NA,NA
94,DE-218-GOL-1,DE-S18-GOL-1,0,DE,goldenrod,terpp,-33.32466667,1.295333333,15.80483465,DE-S18-GOL-1,Dedrick's Creek,DE,goldenrod,terpp,-143.13,21131,5.7
95,DE-S18-163-2,DE-S18-163-2,0,DE,white sucker,detritivore,-28.274,9.909,3.285272609,NA,NA,NA,NA,NA,NA,NA,NA
96,DE-S18-163-3,DE-S18-163-3,0,DE,white sucker,detritivore,-26.909,10.236,3.246506436,NA,NA,NA,NA,NA,NA,NA,NA
97,DE-S18-163-4,DE-S18-163-4,0,DE,white sucker,detritivore,-28.417,9.774,3.263663593,DE-S18-163-4,Dedrick's Creek,DE,white sucker,detritivore,-109.57,26638,6.8
98,DE-S18-208-1,DE-S18-208-1,0,DE,bluntnose minnow,detritivore,-25.038,10.449,3.422812691,NA,NA,NA,NA,NA,NA,NA,NA
99,DE-S18-208-2 A,DE-S18-208-2 A,1,DE,bluntnose minnow,detritivore,-25.171,10.411,3.468634543,NA,NA,NA,NA,NA,NA,NA,NA
100,DE-S18-208-2 B,DE-S18-208-2 B,1,DE,bluntnose minnow,detritivore,-25.222,10.536,3.46357819,NA,NA,NA,NA,NA,NA,NA,NA
101,DE-S18-208-2,DE-S18-208-2,0,DE,bluntnose minnow,detritivore,-25.1965,10.4735,3.466106367,NA,NA,NA,NA,NA,NA,NA,NA
102,DE-S18-208-4,DE-S18-208-4,0,DE,bluntnose minnow,detritivore,-25.678,10.156,3.438542524,NA,NA,NA,NA,NA,NA,NA,NA
103,DE-S18-212-1,DE-S18-212-1,0,DE,creek chub,cc,-26.533,9.464,3.314673194,DE-S18-212-1,Dedrick's Creek,DE,creek chub,cc,-99.11,22025,5.8
104,DE-S18-212-11,DE-S18-212-11,0,DE,creek chub,cc,-25.896,8.868,3.339501768,DE-S18-212-11,Dedrick's Creek,DE,creek chub,cc,-105.25,24643,6.4
105,DE-S18-212-12,DE-S18-212-12,0,DE,creek chub,cc,-25.951,8.116,3.397725913,DE-S18-212-12,Dedrick's Creek,DE,creek chub,cc,-101.48,26571,6.8
106,DE-S18-212-15,DE-S18-212-15,0,DE,creek chub,cc,-25.907,8.472,3.348642443,DE-S18-212-15,Dedrick's Creek,DE,creek chub,cc,-108.09,23776,6.8
107,DE-S18-212-2,DE-S18-212-2,0,DE,creek chub,cc,-26.945,7.917,3.392932236,DE-S18-212-2,Dedrick's Creek,DE,creek chub,cc,-104.76,24821,6.7
108,DE-S18-212-3,DE-S18-212-3,0,DE,creek chub,cc,-24.984,10.051,3.343102366,DE-S18-212-3,Dedrick's Creek,DE,creek chub,cc,-120.08,21978,6.6
109,DE-S18-212-4,DE-S18-212-4,0,DE,creek chub,cc,-26.973,9.023,3.305848072,DE-S18-212-4,Dedrick's Creek,DE,creek chub,cc,-111.97,24394,7
110,DE-S18-212-5,DE-S18-212-5,0,DE,creek chub,cc,-25.672,7.909,3.403042854,DE-S18-212-5,Dedrick's Creek,DE,creek chub,cc,-99.59,25584,6.7
111,DE-S18-212-6,DE-S18-212-6,0,DE,creek chub,cc,-25.579,8.591,3.323144815,DE-S18-212-6,Dedrick's Creek,DE,creek chub,cc,-105.46,25377,6.6
112,DE-S18-212-7,DE-S18-212-7,0,DE,creek chub,cc,-25.926,8.138,3.362639312,DE-S18-212-7,Dedrick's Creek,DE,creek chub,cc,-97.93,22749,6.5
113,DE-S18-341-19,DE-S18-341-19,0,DE,johnny darter,invertivore,-26.841,11.951,3.312898573,DE-S18-341-19,Dedrick's Creek,DE,johnny darter,invertivore,-115.07,23218,6.2
114,DE-S18-341-21 A,DE-S18-341-21 A,1,DE,johnny darter,invertivore,-27.463,11.512,3.356405163,NA,NA,NA,NA,NA,NA,NA,NA
115,DE-S18-341-21 B,DE-S18-341-21 B,1,DE,johnny darter,invertivore,-27.394,11.468,3.35196615,NA,NA,NA,NA,NA,NA,NA,NA
116,DE-S18-341-21,DE-S18-341-21,0,DE,johnny darter,invertivore,-27.4285,11.49,3.354185657,NA,NA,NA,NA,NA,NA,NA,NA
117,DE-S18-341-28,DE-S18-341-28,0,DE,johnny darter,invertivore,-28.566,12.071,3.358281358,NA,NA,NA,NA,NA,NA,NA,NA
118,DE-S18-630-1,DE-S18-630-1,0,DE,blacknose dace,invertivore,-26.598,10.055,3.331914894,NA,NA,NA,NA,NA,NA,NA,NA
119,DE-S18-630-3,DE-S18-630-3,0,DE,blacknose dace,invertivore,-26.817,10.14,3.374733854,NA,NA,NA,NA,NA,NA,NA,NA
120,DE-S18-630-MT2,DE-S18-630-MT2,0,DE,blacknose dace,invertivore,-26.592,10.257,3.454287739,NA,NA,NA,NA,NA,NA,NA,NA
121,DE-S18-ALG-1,DE-S18-ALG-1,0,DE,algae,algae,-26.766,5.357,13.55384615,DE-S18-ALG-1,Dedrick's Creek,DE,algae,algae,-142.48,26385,1.8
122,DE-S18-ALG-2,DE-S18-ALG-2,0,DE,algae,algae,-28.443,5.258,13.08571429,DE-S18-ALG-2,Dedrick's Creek,DE,algae,algae,-132.38,12679,0.8
123,DE-S18-CAT-1,DE-S18-CAT-1,0,DE,caterpillar,terbase,-29.114,-0.236,4.722060253,DE-S18-CAT-1,Dedrick's Creek,DE,caterpillar,terbase,-101.71,23773,6.7
124,DE-S18-CAT-2,DE-S18-CAT-2,0,DE,caterpillar,terbase,-29.214,-0.232,4.814595661,DE-S18-CAT-2,Dedrick's Creek,DE,caterpillar,terbase,-103.19,20777,6.6
125,DE-S18-CAT-3,DE-S18-CAT-3,0,DE,caterpillar,terbase,-29.333,-0.207,4.756385069,DE-S18-CAT-3,Dedrick's Creek,DE,caterpillar,terbase,-98.52,25848,6.7
126,DE-S18-DET-1,DE-S18-DET-1,0,DE,detritus,det,-28.25,1.9,22.35114504,DE-S18-DET-1,Dedrick's Creek,DE,detritus,det,-107.86,27180,3.7
127,DE-S18-DET-2,DE-S18-DET-2,0,DE,detritus,det,-28.215,1.93,22.59375,DE-S18-DET-2,Dedrick's Creek,DE,detritus,det,-108.49,29612,3.9
128,DE-S18-DET-3,DE-S18-DET-3,0,DE,detritus,det,-28.319,1.796,22.31343284,DE-S18-DET-3,Dedrick's Creek,DE,detritus,det,-108.08,27348,4
129,DE-S18-GOL-2,DE-S18-GOL-2,0,DE,goldenrod,terpp,-33.641,1.03,15.95237521,DE-S18-GOL-2,Dedrick's Creek,DE,goldenrod,terpp,-144.1,23295,5.7
130,DE-S18-GOL-3,DE-S18-GOL-3,0,DE,goldenrod,terpp,-33.681,0.892,15.89710326,DE-S18-GOL-3,Dedrick's Creek,DE,goldenrod,terpp,-146.56,22542,6
131,EP1-S18-163-3,EP1-S18-163-3,0,P1,white sucker,detritivore,-27.02,12.558,3.495273306,NA,NA,NA,NA,NA,NA,NA,NA
132,EP1-S18-163-4,EP1-S18-163-4,0,P1,white sucker,detritivore,-26.626,12.083,3.375773568,EP1-S18-163-4,Perl 1,EP1,white sucker,detritivore,-119.27,16270,6.6
133,EP1-S18-163-6,EP1-S18-163-6,0,P1,white sucker,detritivore,-26.609,12.415,3.372073055,NA,NA,NA,NA,NA,NA,NA,NA
134,EP1-S18-165-1 A,EP1-S18-165-1 A,1,P1,northern hog sucker,herbivore,-26.576,12.624,3.319909123,NA,NA,NA,NA,NA,NA,NA,NA
135,EP1-S18-165-1 B,EP1-S18-165-1 B,1,P1,northern hog sucker,herbivore,-26.611,12.341,3.349776971,NA,NA,NA,NA,NA,NA,NA,NA
136,EP1-S18-165-1 C,EP1-S18-165-1 C,1,P1,northern hog sucker,herbivore,-26.623,12.459,3.349953927,NA,NA,NA,NA,NA,NA,NA,NA
137,EP1-S18-165-1,EP1-S18-165-1,0,P1,northern hog sucker,herbivore,-26.60333333,12.47466667,3.339880007,NA,NA,NA,NA,NA,NA,NA,NA
138,EP1-S18-165-2,EP1-S18-165-2,0,P1,northern hog sucker,herbivore,-25.66,15.537,3.248246129,NA,NA,NA,NA,NA,NA,NA,NA
139,EP1-S18-165-3,EP1-S18-165-3,0,P1,northern hog sucker,herbivore,-25.979,13.521,3.213280938,EP1-S18-165-3,Perl 1,EP1,northern hog sucker,herbivore,-115.43,17341,6.8
140,EP1-S18-198-1,EP1-S18-198-1,0,P1,common shiner,invertivore,-26.289,12.85809091,3.417442214,NA,NA,NA,NA,NA,NA,NA,NA
141,EP1-S18-198-2,EP1-S18-198-2,0,P1,common shiner,invertivore,-26.252,13.06290909,3.403342819,NA,NA,NA,NA,NA,NA,NA,NA
142,EP1-S18-198-8,EP1-S18-198-8,0,P1,common shiner,invertivore,-26.8,11.81572727,3.355328288,NA,NA,NA,NA,NA,NA,NA,NA
143,EP1-S18-208-1,EP1-S18-208-1,0,P1,bluntnose minnow,detritivore,-26.652,15.149,3.879784555,NA,NA,NA,NA,NA,NA,NA,NA
144,EP1-S18-208-2,EP1-S18-208-2,0,P1,bluntnose minnow,detritivore,-25.827,13.79427273,3.320987848,NA,NA,NA,NA,NA,NA,NA,NA
145,EP1-S18-212-13,EP1-S18-212-13,0,P1,creek chub,cc,-25.642,12.918,3.227963838,EP1-S18-212-13,Perl 1,EP1,creek chub,cc,-96.42,16374,6.8
146,EP1-S18-212-14,EP1-S18-212-14,0,P1,creek chub,cc,-25.026,11.906,3.217090755,EP1-S18-212-14,Perl 1,EP1,creek chub,cc,-90.69,16366,6.6
147,EP1-S18-212-19,EP1-S18-212-19,0,P1,creek chub,cc,-25.263,12.675,3.259714416,EP1-S18-212-19,Perl 1,EP1,creek chub,cc,-96.73,13556,6.7
148,EP1-S18-212-20,EP1-S18-212-20,0,P1,creek chub,cc,-25.315,13.448,3.243004978,EP1-S18-212-20,Perl 1,EP1,creek chub,cc,-96.97,16180,6.7
149,EP1-S18-212-22,EP1-S18-212-22,0,P1,creek chub,cc,-25.441,11.568,3.239648852,EP1-S18-212-22,Perl 1,EP1,creek chub,cc,-95.65,17164,7
